pipeline	sample	filter	variant_caller	region	region2	variant_class	TP	FP	FN	RECALL	PRECISION	F1
snpmutator	snpmutator_SV17_H1	TBprofiler	mpileup	TOTAL	TOTAL	indel	36	63	14	0.72	0.36363636363636365	0.5418181818181818
snpmutator	snpmutator_SV17_H1	TBprofiler	mpileup	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV17_H1	TBprofiler	mpileup	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV17_H1	RAW	GATK	TOTAL	TOTAL	snp	798	0	2	0.9975	1.0	0.99875
snpmutator	snpmutator_SV17_H1	RAW	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV17_H1	RAW	GATK	TOTAL	TOTAL	indel	36	63	14	0.72	0.36363636363636365	0.5418181818181818
snpmutator	snpmutator_SV17_H1	RAW	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV17_H1	RAW	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV17_H1	MTBseq	GATK	TOTAL	TOTAL	snp	780	0	20	0.975	1.0	0.9875
snpmutator	snpmutator_SV17_H1	MTBseq	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV17_H1	MTBseq	GATK	TOTAL	TOTAL	indel	36	62	14	0.72	0.3673469387755102	0.5436734693877551
snpmutator	snpmutator_SV17_H1	MTBseq	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV17_H1	MTBseq	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV18_H1	RAW	freebayes	TOTAL	TOTAL	snp	798	175	2	0.9975	0.8201438848920863	0.9088219424460432
snpmutator	snpmutator_SV18_H1	RAW	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV18_H1	RAW	freebayes	TOTAL	TOTAL	indel	38	65	12	0.76	0.36893203883495146	0.5644660194174758
snpmutator	snpmutator_SV18_H1	RAW	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV18_H1	RAW	freebayes	TOTAL	TOTAL	unknown	1	0	49	0.02	1.0	0.51
snpmutator	snpmutator_SV18_H1	genotube	freebayes	TOTAL	TOTAL	snp	798	0	2	0.9975	1.0	0.99875
snpmutator	snpmutator_SV18_H1	genotube	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV18_H1	genotube	freebayes	TOTAL	TOTAL	indel	38	61	12	0.76	0.3838383838383838	0.5719191919191919
snpmutator	snpmutator_SV18_H1	genotube	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV18_H1	genotube	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV18_H1	TBprofiler	mpileup	TOTAL	TOTAL	snp	798	9	2	0.9975	0.9888475836431226	0.9931737918215613
snpmutator	snpmutator_SV18_H1	TBprofiler	mpileup	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV18_H1	TBprofiler	mpileup	TOTAL	TOTAL	indel	38	61	12	0.76	0.3838383838383838	0.5719191919191919
snpmutator	snpmutator_SV18_H1	TBprofiler	mpileup	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV18_H1	TBprofiler	mpileup	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV18_H1	RAW	GATK	TOTAL	TOTAL	snp	797	0	3	0.99625	1.0	0.9981249999999999
snpmutator	snpmutator_SV18_H1	RAW	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
